Query_ID,Query_Text,Department,Device,Time_of_Day
Q00022_aug_1,"Hello, I am writing to report a serious problem with my Smartwatch.",Billing,Smartwatch,2025-05-13 17:28:46
Q00023,"Dear support,

My recent experience with the Printer has been quite disappointing due to several bugs. 

Thank you.",Returns & Refunds,Printer,2025-05-11 07:45:37
Q00023_aug_1,"Dear support, My recent experience with the Printer has been quite disappointing due to several bugs. Thank you.",Returns & Refunds,Printer,2025-05-11 07:45:37
Q00024,"Dear support,

I'm writing to report a serious issue with my Tablet. I would appreciate a prompt response.

Thank you.",Warranty Claims,Tablet,2025-05-13 12:26:43
Q00024_aug_1,"Dear support, I am writing to report a serious problem with my tablet. I would like to receive a quick answer. Thank you.",Warranty Claims,Tablet,2025-05-13 12:26:43
Q00025,"Good morning,

After the recent update, my Smartphone isn't working as expected. 

Thank you.",Technical Support,Smartphone,2025-05-02 19:03:03
Q00025_aug_1,"Hello, after the recent update, my Smartphone doesn't work as planned.",Technical Support,Smartphone,2025-05-02 19:03:03
Q00026,"Good evening,

I noticed some irregular behavior with my Smart TV that I believe your team should look into. 

Thank you.",Order Management,Smart TV,2025-05-13 03:15:12
Q00026_aug_1,"Good evening, I noticed an irregular behavior with my Smart TV that I think your team should review.",Order Management,Smart TV,2025-05-13 03:15:12
Q00027,"Dear support,

I've been facing persistent problems with my Smartwatch. 

Thank you.",Product Inquiry,Smartwatch,2025-05-05 14:04:58
Q00027_aug_1,"Dear support, I have been confronted with persistent problems with my Smartwatch. Thank you.",Product Inquiry,Smartwatch,2025-05-05 14:04:58
Q00028,"Hello team,

My Laptop has stopped functioning properly and I need help resolving the issue. Please address this issue at your earliest convenience.

Thank you.",Order Management,Laptop,2025-05-10 12:25:28
Q00028_aug_1,"Hello team, My laptop stopped working properly and I need help solving the problem. Please treat this problem as soon as possible. Thank you.",Order Management,Laptop,2025-05-10 12:25:28
Q00029,"Hello,

After the recent update, my Smartphone isn't working as expected. Please look into this matter urgently.

Thank you.",Billing,Smartphone,2025-05-23 02:25:23
Q00029_aug_1,"Hello, After the recent update, my Smartphone does not work as planned. Please consider this issue of urgency. Thank you.",Billing,Smartphone,2025-05-23 02:25:23
Q00030,"Good evening,

I'm writing to report a serious issue with my Router. 

Thank you.",Order Management,Router,2025-05-05 13:02:09
Q00030_aug_1,"Good evening, I'm writing to report a serious problem with my router.",Order Management,Router,2025-05-05 13:02:09
Q00031,"Dear support,

My Smartphone has stopped functioning properly and I need help resolving the issue. Kindly resolve this issue as soon as possible.

Thank you.",Product Inquiry,Smartphone,2025-05-14 01:58:00
Q00031_aug_1,"Dear support, My Smartphone has stopped working properly and I need help solving the problem.",Product Inquiry,Smartphone,2025-05-14 01:58:00
Q00032,"Hello,

I've been facing persistent problems with my Smart TV. 

Thank you.",Account Management,Smart TV,2025-05-04 16:00:38
Q00032_aug_1,"Hello, I've been confronted with persistent problems with my Smart TV. Thank you.",Account Management,Smart TV,2025-05-04 16:00:38
Q00033,"Hello team,

After the recent update, my Smartphone isn't working as expected. I would appreciate a prompt response.

Thank you.",Product Inquiry,Smartphone,2025-05-05 21:10:31
Q00033_aug_1,"Hello team, After the recent update, my smartphone does not work as planned. I would appreciate a quick answer. Thank you.",Product Inquiry,Smartphone,2025-05-05 21:10:31
Q00034,"I hope this message finds you well,

I noticed some irregular behavior with my Gaming Console that I believe your team should look into. 

Thank you.",Order Management,Gaming Console,2025-05-19 15:43:03
Q00034_aug_1,"I hope this message finds you well, I noticed an irregular behavior with my game console that I think your team should examine. Thank you.",Order Management,Gaming Console,2025-05-19 15:43:03
Q00035,"Hi there,

I'm writing to report a serious issue with my Gaming Console. Kindly resolve this issue as soon as possible.

Thank you.",Product Inquiry,Gaming Console,2025-04-29 22:58:34
Q00035_aug_1,"Hello, I am writing to report a serious problem with my game console. Please solve this problem as soon as possible. Thank you.",Product Inquiry,Gaming Console,2025-04-29 22:58:34
Q00036,"Good morning,

This is to bring to your attention an ongoing issue with my Tablet that hasn't been resolved yet. 

Thank you.",Product Inquiry,Tablet,2025-04-29 03:23:58
Q00036_aug_1,"Hello, this is to bring to your attention a permanent problem with my tablet that has not yet been solved. Thank you.",Product Inquiry,Tablet,2025-04-29 03:23:58
Q00037,"Dear support,

This is to bring to your attention an ongoing issue with my Smartphone that hasn't been resolved yet. 

Thank you.",Returns & Refunds,Smartphone,2025-05-15 12:46:34
Q00037_aug_1,"Dear support, This is to bring to your attention a permanent problem with my smartphone that has not yet been solved. Thank you.",Returns & Refunds,Smartphone,2025-05-15 12:46:34
Q00038,"Hello,

I've been facing persistent problems with my Router. 

Thank you.",Shipping,Router,2025-05-14 02:30:17
Q00038_aug_1,"Hello, I have been confronted with persistent problems with my router.",Shipping,Router,2025-05-14 02:30:17
Q00039,"Hello team,

There seems to be a malfunction with my Router that needs urgent attention. Looking forward to your swift assistance.

Thank you.",Account Management,Router,2025-05-08 04:09:07
Q00039_aug_1,"Hello team, there seems to be a malfunction with my router that needs urgent attention.",Account Management,Router,2025-05-08 04:09:07
Q00040,"I hope this message finds you well,

My recent experience with the Gaming Console has been quite disappointing due to several bugs. Looking forward to your swift assistance.

Thank you.",Returns & Refunds,Gaming Console,2025-04-28 18:06:44
Q00040_aug_1,"I hope this message finds you well, My recent experience with the game console has been quite disappointing due to several bugs.",Returns & Refunds,Gaming Console,2025-04-28 18:06:44
Q00041,"Dear support,

I noticed some irregular behavior with my Tablet that I believe your team should look into. Kindly resolve this issue as soon as possible.

Thank you.",Shipping,Tablet,2025-05-22 19:15:57
Q00041_aug_1,"Dear support, I noticed an irregular behavior with my tablet that I think your team should examine. Please solve this problem as soon as possible. Thank you.",Shipping,Tablet,2025-05-22 19:15:57
Q00042,"Good morning,

This is to bring to your attention an ongoing issue with my Smartphone that hasn't been resolved yet. Kindly resolve this issue as soon as possible.

Thank you.",Shipping,Smartphone,2025-05-16 21:44:08
Q00042_aug_1,"Hello, This is to bring to your attention a permanent problem with my smartphone that has not yet been solved. Please solve this problem as soon as possible. Thank you.",Shipping,Smartphone,2025-05-16 21:44:08
Q00043,"I hope this message finds you well,

My Smartwatch has stopped functioning properly and I need help resolving the issue. 

Thank you.",Product Inquiry,Smartwatch,2025-05-07 05:34:18
Q00043_aug_1,"I hope this message will find you, my Smartwatch has stopped working properly and I need help to solve the problem. Thank you.",Product Inquiry,Smartwatch,2025-05-07 05:34:18
Q00044,"Good morning,

My Laptop has stopped functioning properly and I need help resolving the issue. 

Thank you.",Shipping,Laptop,2025-05-21 19:56:54
Q00044_aug_1,"Hello, my laptop stopped working properly and I need help solving the problem. Thank you.",Shipping,Laptop,2025-05-21 19:56:54
Q00045,"Hello team,

There seems to be a malfunction with my Tablet that needs urgent attention. 

Thank you.",Technical Support,Tablet,2025-05-16 12:06:11
Q00045_aug_1,"Hello team, there seems to be a malfunction with my tablet that needs urgent attention. Thank you.",Technical Support,Tablet,2025-05-16 12:06:11
Q00046,"Hello team,

My Smart TV has stopped functioning properly and I need help resolving the issue. 

Thank you.",Billing,Smart TV,2025-04-30 11:07:05
Q00046_aug_1,"Hello team, my Smart TV stopped working properly and I need help solving the problem. Thank you.",Billing,Smart TV,2025-04-30 11:07:05
Q00047,"Hello team,

After the recent update, my Smartphone isn't working as expected. 

Thank you.",Order Management,Smartphone,2025-05-10 14:14:17
Q00047_aug_1,"Hello team, After the recent update, my smartphone doesn't work as planned. Thank you.",Order Management,Smartphone,2025-05-10 14:14:17
Q00048,"Good morning,

I've been facing persistent problems with my Laptop. Please look into this matter urgently.

Thank you.",Account Management,Laptop,2025-05-07 03:42:58
Q00048_aug_1,"Hello, I've been confronted with persistent problems with my laptop.",Account Management,Laptop,2025-05-07 03:42:58
Q00049,"Hello,

I've been facing persistent problems with my Router. 

Thank you.",Shipping,Router,2025-05-08 04:37:15
Q00049_aug_1,"Hello, I have been confronted with persistent problems with my router.",Shipping,Router,2025-05-08 04:37:15
Q00050,"Hello,

There seems to be a malfunction with my Gaming Console that needs urgent attention. I would appreciate a prompt response.

Thank you.",Returns & Refunds,Gaming Console,2025-05-05 16:45:23
Q00050_aug_1,"Hello, There seems to be a malfunction with my game console that needs urgent attention. I would appreciate a quick answer. Thank you.",Returns & Refunds,Gaming Console,2025-05-05 16:45:23
Q00051,"Hello team,

This is to bring to your attention an ongoing issue with my Router that hasn't been resolved yet. 

Thank you.",Shipping,Router,2025-05-04 12:17:04
Q00051_aug_1,"Hello team, This is to bring to your attention a continuous problem with my Router that has not yet been solved. Thank you.",Shipping,Router,2025-05-04 12:17:04
Q00052,"Hello,

I noticed some irregular behavior with my Smartwatch that I believe your team should look into. 

Thank you.",Billing,Smartwatch,2025-04-26 21:14:37
Q00052_aug_1,"Hello, I noticed an irregular behavior with my Smartwatch that I think your team should examine.",Billing,Smartwatch,2025-04-26 21:14:37
Q00053,"Hello team,

This is to bring to your attention an ongoing issue with my Smartphone that hasn't been resolved yet. 

Thank you.",Returns & Refunds,Smartphone,2025-05-12 17:21:54
Q00053_aug_1,"Hello team, This is to bring to your attention a continuous problem with my Smartphone that has not yet been solved. Thank you.",Returns & Refunds,Smartphone,2025-05-12 17:21:54
Q00054,"Hello team,

My Router has stopped functioning properly and I need help resolving the issue. 

Thank you.",Returns & Refunds,Router,2025-04-26 12:17:41
Q00054_aug_1,"Hello team, My Router stopped working properly and I need help solving the problem. Thank you.",Returns & Refunds,Router,2025-04-26 12:17:41
Q00055,"I hope this message finds you well,

This is to bring to your attention an ongoing issue with my Smart TV that hasn't been resolved yet. 

Thank you.",Order Management,Smart TV,2025-04-24 05:16:43
Q00055_aug_1,"I hope this message will find you, This is to bring to your attention a continuous problem with my Smart TV that has not yet been solved. Thank you.",Order Management,Smart TV,2025-04-24 05:16:43
Q00056,"Hi there,

My recent experience with the Smart TV has been quite disappointing due to several bugs. 

Thank you.",Technical Support,Smart TV,2025-05-19 01:47:28
Q00056_aug_1,"Hello, My recent experience with Smart TV has been quite disappointing due to several bugs. Thank you.",Technical Support,Smart TV,2025-05-19 01:47:28
Q00057,"Hello,

There seems to be a malfunction with my Printer that needs urgent attention. Looking forward to your swift assistance.

Thank you.",Warranty Claims,Printer,2025-05-20 11:25:04
Q00057_aug_1,"Hello, there seems to be a malfunction with my printer that needs urgent attention.",Warranty Claims,Printer,2025-05-20 11:25:04
Q00058,"I hope this message finds you well,

I need assistance with my Smart TV regarding a problem that just started this morning. 

Thank you.",Account Management,Smart TV,2025-05-05 04:27:33
Q00058_aug_1,"I hope this message will find you, I need help with my Smart TV about a problem that just started this morning. Thank you.",Account Management,Smart TV,2025-05-05 04:27:33
Q00059,"I hope this message finds you well,

Could you please assist with an unexpected error I've encountered on my Smartphone? 

Thank you.",Billing,Smartphone,2025-05-04 16:36:55
Q00059_aug_1,"I hope this message will find you, could you help with an unexpected mistake that I encountered on my smartphone? Thank you.",Billing,Smartphone,2025-05-04 16:36:55
Q00060,"To whom it may concern,

Could you please assist with an unexpected error I've encountered on my Gaming Console? Please look into this matter urgently.

Thank you.",Billing,Gaming Console,2025-04-27 01:20:15
Q00060_aug_1,"For whom can it concern, could you help us with an unexpected mistake that I encountered on my game console? Please consider this question of urgency. Thank you.",Billing,Gaming Console,2025-04-27 01:20:15
Q00061,"Hello,

There seems to be a malfunction with my Printer that needs urgent attention. 

Thank you.",Billing,Printer,2025-05-07 20:53:01
Q00061_aug_1,"Hello, there seems to be a malfunction with my printer that needs urgent attention.",Billing,Printer,2025-05-07 20:53:01
Q00062,"Good morning,

My recent experience with the Printer has been quite disappointing due to several bugs. 

Thank you.",Warranty Claims,Printer,2025-04-27 14:26:15
Q00062_aug_1,"Hello, My recent experience with the Printer has been quite disappointing due to several bugs. Thank you.",Warranty Claims,Printer,2025-04-27 14:26:15
Q00063,"Dear support,

My Smartphone has stopped functioning properly and I need help resolving the issue. 

Thank you.",Order Management,Smartphone,2025-05-22 00:29:14
Q00063_aug_1,"Dear support, My Smartphone has stopped working properly and I need help solving the problem. Thank you.",Order Management,Smartphone,2025-05-22 00:29:14
Q00064,"Good evening,

This is to bring to your attention an ongoing issue with my Smartwatch that hasn't been resolved yet. 

Thank you.",Warranty Claims,Smartwatch,2025-05-17 07:16:38
Q00064_aug_1,"Good evening, this is to bring to your attention a permanent problem with my Smartwatch that has not yet been solved. Thank you.",Warranty Claims,Smartwatch,2025-05-17 07:16:38
Q00065,"Good morning,

Could you please assist with an unexpected error I've encountered on my Printer? Kindly resolve this issue as soon as possible.

Thank you.",Account Management,Printer,2025-05-01 01:37:51
Q00065_aug_1,"Hello, could you help with an unexpected mistake that I encountered on my printer? Please fix this problem as soon as possible. Thank you.",Account Management,Printer,2025-05-01 01:37:51
Q00066,"Hello team,

I noticed some irregular behavior with my Gaming Console that I believe your team should look into. 

Thank you.",Technical Support,Gaming Console,2025-05-07 22:18:26
Q00066_aug_1,"Hello team, I noticed an irregular behavior with my game console that I think your team should review. Thank you.",Technical Support,Gaming Console,2025-05-07 22:18:26
Q00067,"Hello,

There seems to be a malfunction with my Smartwatch that needs urgent attention. 

Thank you.",Order Management,Smartwatch,2025-05-17 00:59:58
Q00067_aug_1,"Hello, there seems to be a malfunction with my Smartwatch that needs urgent attention. Thank you.",Order Management,Smartwatch,2025-05-17 00:59:58
Q00068,"Good evening,

My recent experience with the Router has been quite disappointing due to several bugs. Please address this issue at your earliest convenience.

Thank you.",Warranty Claims,Router,2025-05-16 23:57:03
Q00068_aug_1,"Good evening, my recent experience with the Router has been quite disappointing due to several bugs. Please address this problem as soon as possible. Thank you.",Warranty Claims,Router,2025-05-16 23:57:03
Q00069,"Hello,

I've been facing persistent problems with my Router. Please address this issue at your earliest convenience.

Thank you.",Order Management,Router,2025-05-02 00:32:44
Q00069_aug_1,"Hello, I have been confronted with persistent problems with my router. Please address this problem at your convenience. Thank you.",Order Management,Router,2025-05-02 00:32:44
Q00070,"Good evening,

I noticed some irregular behavior with my Smartphone that I believe your team should look into. 

Thank you.",Product Inquiry,Smartphone,2025-05-13 08:37:34
Q00070_aug_1,"Good evening, I noticed an irregular behavior with my Smartphone that I think your team should examine.",Product Inquiry,Smartphone,2025-05-13 08:37:34
Q00071,"Good morning,

I noticed some irregular behavior with my Gaming Console that I believe your team should look into. 

Thank you.",Technical Support,Gaming Console,2025-05-20 06:12:08
Q00071_aug_1,"Hello, I noticed an irregular behavior with my game console that I think your team should examine.",Technical Support,Gaming Console,2025-05-20 06:12:08
Q00072,"Hello,

After the recent update, my Gaming Console isn't working as expected. Please look into this matter urgently.

Thank you.",Shipping,Gaming Console,2025-05-20 13:18:21
Q00072_aug_1,"Hello, After the recent update, my game console does not work as planned. Please consider this issue of urgency. Thank you.",Shipping,Gaming Console,2025-05-20 13:18:21
Q00073,"Hello,

My Smartphone has stopped functioning properly and I need help resolving the issue. 

Thank you.",Shipping,Smartphone,2025-04-27 17:47:08
Q00073_aug_1,"Hello, My Smartphone stopped working properly and I need help solving the problem. Thank you.",Shipping,Smartphone,2025-04-27 17:47:08
Q00074,"Good morning,

My recent experience with the Gaming Console has been quite disappointing due to several bugs. Kindly resolve this issue as soon as possible.

Thank you.",Warranty Claims,Gaming Console,2025-04-28 06:42:03
Q00074_aug_1,"Hello, My recent experience with the game console has been quite disappointing due to several bugs. Please fix this problem as soon as possible. Thank you.",Warranty Claims,Gaming Console,2025-04-28 06:42:03
Q00075,"Good morning,

I noticed some irregular behavior with my Smart TV that I believe your team should look into. I would appreciate a prompt response.

Thank you.",Warranty Claims,Smart TV,2025-05-18 03:26:17
Q00075_aug_1,"Hello, I noticed an irregular behavior with my Smart TV that I think your team should review. I would appreciate a quick answer. Thank you.",Warranty Claims,Smart TV,2025-05-18 03:26:17
Q00076,"To whom it may concern,

I've been facing persistent problems with my Printer. 

Thank you.",Returns & Refunds,Printer,2025-05-02 21:35:12
Q00076_aug_1,"Whom I'm interested in, I've been confronted with persistent problems with my Printer.",Returns & Refunds,Printer,2025-05-02 21:35:12
Q00077,"Hi there,

This is to bring to your attention an ongoing issue with my Gaming Console that hasn't been resolved yet. 

Thank you.",Account Management,Gaming Console,2025-05-14 23:53:38
Q00077_aug_1,"Hello, This is to bring to your attention a continuous problem with my game console that has not yet been solved. Thank you.",Account Management,Gaming Console,2025-05-14 23:53:38
Q00078,"Hello team,

This is to bring to your attention an ongoing issue with my Laptop that hasn't been resolved yet. 

Thank you.",Returns & Refunds,Laptop,2025-04-30 17:37:00
Q00078_aug_1,"Hello team, This is to bring to your attention a permanent problem with my laptop that has not yet been solved. Thank you.",Returns & Refunds,Laptop,2025-04-30 17:37:00
Q00079,"Hello,

My recent experience with the Tablet has been quite disappointing due to several bugs. 

Thank you.",Returns & Refunds,Tablet,2025-05-10 10:53:19
Q00079_aug_1,"Hello, My recent experience with the tablet has been quite disappointing due to several bugs. Thank you.",Returns & Refunds,Tablet,2025-05-10 10:53:19
Q00080,"I hope this message finds you well,

I'm writing to report a serious issue with my Laptop. Kindly resolve this issue as soon as possible.

Thank you.",Product Inquiry,Laptop,2025-05-10 04:40:50
Q00080_aug_1,"I hope this message will find you, I am writing to report a serious problem with my laptop.",Product Inquiry,Laptop,2025-05-10 04:40:50
Q00081,"To whom it may concern,

My recent experience with the Gaming Console has been quite disappointing due to several bugs. 

Thank you.",Warranty Claims,Gaming Console,2025-04-30 17:39:51
Q00081_aug_1,"To whom this may concern, My recent experience with the game console has been quite disappointing due to several bugs. Thank you.",Warranty Claims,Gaming Console,2025-04-30 17:39:51
Q00082,"Hello team,

I noticed some irregular behavior with my Tablet that I believe your team should look into. Kindly resolve this issue as soon as possible.

Thank you.",Returns & Refunds,Tablet,2025-05-16 04:41:10
Q00082_aug_1,"Hello team, I noticed an irregular behavior with my tablet that I think your team should examine. Please solve this problem as soon as possible. Thank you.",Returns & Refunds,Tablet,2025-05-16 04:41:10
Q00083,"I hope this message finds you well,

I need assistance with my Tablet regarding a problem that just started this morning. 

Thank you.",Product Inquiry,Tablet,2025-04-29 17:58:30
Q00083_aug_1,"I hope this message will find you, I need help with my tablet about a problem that just started this morning. Thank you.",Product Inquiry,Tablet,2025-04-29 17:58:30
Q00084,"Hello,

After the recent update, my Tablet isn't working as expected. 

Thank you.",Billing,Tablet,2025-05-22 06:50:23
Q00084_aug_1,"Hello, After the recent update, my tablet doesn't work as expected. Thank you.",Billing,Tablet,2025-05-22 06:50:23
Q00085,"Good evening,

My recent experience with the Smart TV has been quite disappointing due to several bugs. 

Thank you.",Account Management,Smart TV,2025-04-29 13:49:52
Q00085_aug_1,"Good evening, my recent experience with Smart TV has been quite disappointing due to several bugs. Thank you.",Account Management,Smart TV,2025-04-29 13:49:52
Q00086,"To whom it may concern,

There seems to be a malfunction with my Smartphone that needs urgent attention. 

Thank you.",Warranty Claims,Smartphone,2025-05-03 21:32:47
Q00086_aug_1,"To whom this may concern, there seems to be a malfunction with my smartphone that needs urgent attention. Thank you.",Warranty Claims,Smartphone,2025-05-03 21:32:47
Q00087,"Good morning,

My Smartphone has stopped functioning properly and I need help resolving the issue. 

Thank you.",Shipping,Smartphone,2025-05-12 19:53:11
Q00087_aug_1,"Hello, My Smartphone stopped working properly and I need help solving the problem. Thank you.",Shipping,Smartphone,2025-05-12 19:53:11
Q00088,"Hello,

I'm writing to report a serious issue with my Laptop. Looking forward to your swift assistance.

Thank you.",Returns & Refunds,Laptop,2025-05-02 20:11:24
Q00088_aug_1,"Hello, I'm writing to report a serious problem with my laptop.",Returns & Refunds,Laptop,2025-05-02 20:11:24
Q00089,"I hope this message finds you well,

I need assistance with my Smartwatch regarding a problem that just started this morning. 

Thank you.",Order Management,Smartwatch,2025-05-08 04:28:51
Q00089_aug_1,"I hope this message will find you, I need help with my Smartwatch on a problem that just started this morning. Thank you.",Order Management,Smartwatch,2025-05-08 04:28:51
Q00090,"Hi there,

Could you please assist with an unexpected error I've encountered on my Smartphone? Please look into this matter urgently.

Thank you.",Account Management,Smartphone,2025-05-19 19:06:22
Q00090_aug_1,"Hello, could you help with an unexpected mistake that I encountered on my Smartphone? Please consider this issue of urgency. Thank you.",Account Management,Smartphone,2025-05-19 19:06:22
Q00091,"Good evening,

After the recent update, my Smart TV isn't working as expected. 

Thank you.",Order Management,Smart TV,2025-05-01 09:03:48
Q00091_aug_1,"Good evening, after the recent update, my Smart TV doesn't work as planned. Thank you.",Order Management,Smart TV,2025-05-01 09:03:48
Q00092,"To whom it may concern,

After the recent update, my Smart TV isn't working as expected. I would appreciate a prompt response.

Thank you.",Warranty Claims,Smart TV,2025-04-29 15:48:49
Q00092_aug_1,"To whom this may concern, After the recent update, my Smart TV does not work as expected. I would appreciate a quick answer. Thank you.",Warranty Claims,Smart TV,2025-04-29 15:48:49
Q00093,"Hello team,

My Gaming Console has stopped functioning properly and I need help resolving the issue. 

Thank you.",Technical Support,Gaming Console,2025-05-20 17:01:20
Q00093_aug_1,"Hello team, My Gaming Console stopped working properly and I need help solving the problem. Thank you.",Technical Support,Gaming Console,2025-05-20 17:01:20
Q00094,"Good evening,

I've been facing persistent problems with my Router. 

Thank you.",Billing,Router,2025-05-22 15:54:08
Q00094_aug_1,"Good evening, I have been confronted with persistent problems with my router.",Billing,Router,2025-05-22 15:54:08
Q00095,"Hi there,

I noticed some irregular behavior with my Smartphone that I believe your team should look into. 

Thank you.",Returns & Refunds,Smartphone,2025-04-25 11:38:59
Q00095_aug_1,"Hello, I noticed an irregular behavior with my Smartphone that I think your team should examine.",Returns & Refunds,Smartphone,2025-04-25 11:38:59
