Query_ID,Query_Text,Department,Device,Time_of_Day,Hour,Day_of_Week,Department_Code,Device_Code
Q00064_aug_1,"Good evening, this is to bring to your attention a permanent problem with my Smartwatch that has not yet been solved. Thank you.",Warranty Claims,Smartwatch,2025-05-17 07:16:38,7,5,7,0
Q00065,"Good morning,

Could you please assist with an unexpected error I've encountered on my Printer? Kindly resolve this issue as soon as possible.

Thank you.",Account Management,Printer,2025-05-01 01:37:51,1,3,0,2
Q00065_aug_1,"Hello, could you help with an unexpected mistake that I encountered on my printer? Please fix this problem as soon as possible. Thank you.",Account Management,Printer,2025-05-01 01:37:51,1,3,0,2
Q00067,"Hello,

There seems to be a malfunction with my Smartwatch that needs urgent attention. 

Thank you.",Order Management,Smartwatch,2025-05-17 00:59:58,0,5,2,0
Q00067_aug_1,"Hello, there seems to be a malfunction with my Smartwatch that needs urgent attention. Thank you.",Order Management,Smartwatch,2025-05-17 00:59:58,0,5,2,0
Q00068,"Good evening,

My recent experience with the Router has been quite disappointing due to several bugs. Please address this issue at your earliest convenience.

Thank you.",Warranty Claims,Router,2025-05-16 23:57:03,23,4,7,7
Q00068_aug_1,"Good evening, my recent experience with the Router has been quite disappointing due to several bugs. Please address this problem as soon as possible. Thank you.",Warranty Claims,Router,2025-05-16 23:57:03,23,4,7,7
Q00069,"Hello,

I've been facing persistent problems with my Router. Please address this issue at your earliest convenience.

Thank you.",Order Management,Router,2025-05-02 00:32:44,0,4,2,7
Q00069_aug_1,"Hello, I have been confronted with persistent problems with my router. Please address this problem at your convenience. Thank you.",Order Management,Router,2025-05-02 00:32:44,0,4,2,7
Q00072,"Hello,

After the recent update, my Gaming Console isn't working as expected. Please look into this matter urgently.

Thank you.",Shipping,Gaming Console,2025-05-20 13:18:21,13,1,5,1
Q00072_aug_1,"Hello, After the recent update, my game console does not work as planned. Please consider this issue of urgency. Thank you.",Shipping,Gaming Console,2025-05-20 13:18:21,13,1,5,1
Q00073,"Hello,

My Smartphone has stopped functioning properly and I need help resolving the issue. 

Thank you.",Shipping,Smartphone,2025-04-27 17:47:08,17,6,5,6
Q00073_aug_1,"Hello, My Smartphone stopped working properly and I need help solving the problem. Thank you.",Shipping,Smartphone,2025-04-27 17:47:08,17,6,5,6
Q00074,"Good morning,

My recent experience with the Gaming Console has been quite disappointing due to several bugs. Kindly resolve this issue as soon as possible.

Thank you.",Warranty Claims,Gaming Console,2025-04-28 06:42:03,6,0,7,1
Q00074_aug_1,"Hello, My recent experience with the game console has been quite disappointing due to several bugs. Please fix this problem as soon as possible. Thank you.",Warranty Claims,Gaming Console,2025-04-28 06:42:03,6,0,7,1
Q00076,"To whom it may concern,

I've been facing persistent problems with my Printer. 

Thank you.",Returns & Refunds,Printer,2025-05-02 21:35:12,21,4,4,2
Q00076_aug_1,"Whom I'm interested in, I've been confronted with persistent problems with my Printer.",Returns & Refunds,Printer,2025-05-02 21:35:12,21,4,4,2
Q00077,"Hi there,

This is to bring to your attention an ongoing issue with my Gaming Console that hasn't been resolved yet. 

Thank you.",Account Management,Gaming Console,2025-05-14 23:53:38,23,2,0,1
Q00077_aug_1,"Hello, This is to bring to your attention a continuous problem with my game console that has not yet been solved. Thank you.",Account Management,Gaming Console,2025-05-14 23:53:38,23,2,0,1
Q00079,"Hello,

My recent experience with the Tablet has been quite disappointing due to several bugs. 

Thank you.",Returns & Refunds,Tablet,2025-05-10 10:53:19,10,5,4,5
Q00079_aug_1,"Hello, My recent experience with the tablet has been quite disappointing due to several bugs. Thank you.",Returns & Refunds,Tablet,2025-05-10 10:53:19,10,5,4,5
Q00080,"I hope this message finds you well,

I'm writing to report a serious issue with my Laptop. Kindly resolve this issue as soon as possible.

Thank you.",Product Inquiry,Laptop,2025-05-10 04:40:50,4,5,3,4
Q00080_aug_1,"I hope this message will find you, I am writing to report a serious problem with my laptop.",Product Inquiry,Laptop,2025-05-10 04:40:50,4,5,3,4
Q00081,"To whom it may concern,

My recent experience with the Gaming Console has been quite disappointing due to several bugs. 

Thank you.",Warranty Claims,Gaming Console,2025-04-30 17:39:51,17,2,7,1
Q00081_aug_1,"To whom this may concern, My recent experience with the game console has been quite disappointing due to several bugs. Thank you.",Warranty Claims,Gaming Console,2025-04-30 17:39:51,17,2,7,1
Q00082,"Hello team,

I noticed some irregular behavior with my Tablet that I believe your team should look into. Kindly resolve this issue as soon as possible.

Thank you.",Returns & Refunds,Tablet,2025-05-16 04:41:10,4,4,4,5
Q00082_aug_1,"Hello team, I noticed an irregular behavior with my tablet that I think your team should examine. Please solve this problem as soon as possible. Thank you.",Returns & Refunds,Tablet,2025-05-16 04:41:10,4,4,4,5
Q00083,"I hope this message finds you well,

I need assistance with my Tablet regarding a problem that just started this morning. 

Thank you.",Product Inquiry,Tablet,2025-04-29 17:58:30,17,1,3,5
Q00083_aug_1,"I hope this message will find you, I need help with my tablet about a problem that just started this morning. Thank you.",Product Inquiry,Tablet,2025-04-29 17:58:30,17,1,3,5
Q00085,"Good evening,

My recent experience with the Smart TV has been quite disappointing due to several bugs. 

Thank you.",Account Management,Smart TV,2025-04-29 13:49:52,13,1,0,3
Q00085_aug_1,"Good evening, my recent experience with Smart TV has been quite disappointing due to several bugs. Thank you.",Account Management,Smart TV,2025-04-29 13:49:52,13,1,0,3
Q00086,"To whom it may concern,

There seems to be a malfunction with my Smartphone that needs urgent attention. 

Thank you.",Warranty Claims,Smartphone,2025-05-03 21:32:47,21,5,7,6
Q00086_aug_1,"To whom this may concern, there seems to be a malfunction with my smartphone that needs urgent attention. Thank you.",Warranty Claims,Smartphone,2025-05-03 21:32:47,21,5,7,6
Q00087,"Good morning,

My Smartphone has stopped functioning properly and I need help resolving the issue. 

Thank you.",Shipping,Smartphone,2025-05-12 19:53:11,19,0,5,6
Q00087_aug_1,"Hello, My Smartphone stopped working properly and I need help solving the problem. Thank you.",Shipping,Smartphone,2025-05-12 19:53:11,19,0,5,6
Q00088,"Hello,

I'm writing to report a serious issue with my Laptop. Looking forward to your swift assistance.

Thank you.",Returns & Refunds,Laptop,2025-05-02 20:11:24,20,4,4,4
Q00088_aug_1,"Hello, I'm writing to report a serious problem with my laptop.",Returns & Refunds,Laptop,2025-05-02 20:11:24,20,4,4,4
Q00089,"I hope this message finds you well,

I need assistance with my Smartwatch regarding a problem that just started this morning. 

Thank you.",Order Management,Smartwatch,2025-05-08 04:28:51,4,3,2,0
Q00089_aug_1,"I hope this message will find you, I need help with my Smartwatch on a problem that just started this morning. Thank you.",Order Management,Smartwatch,2025-05-08 04:28:51,4,3,2,0
Q00090,"Hi there,

Could you please assist with an unexpected error I've encountered on my Smartphone? Please look into this matter urgently.

Thank you.",Account Management,Smartphone,2025-05-19 19:06:22,19,0,0,6
Q00090_aug_1,"Hello, could you help with an unexpected mistake that I encountered on my Smartphone? Please consider this issue of urgency. Thank you.",Account Management,Smartphone,2025-05-19 19:06:22,19,0,0,6
Q00092,"To whom it may concern,

After the recent update, my Smart TV isn't working as expected. I would appreciate a prompt response.

Thank you.",Warranty Claims,Smart TV,2025-04-29 15:48:49,15,1,7,3
Q00092_aug_1,"To whom this may concern, After the recent update, my Smart TV does not work as expected. I would appreciate a quick answer. Thank you.",Warranty Claims,Smart TV,2025-04-29 15:48:49,15,1,7,3
Q00093,"Hello team,

My Gaming Console has stopped functioning properly and I need help resolving the issue. 

Thank you.",Technical Support,Gaming Console,2025-05-20 17:01:20,17,1,6,1
Q00093_aug_1,"Hello team, My Gaming Console stopped working properly and I need help solving the problem. Thank you.",Technical Support,Gaming Console,2025-05-20 17:01:20,17,1,6,1
Q00094,"Good evening,

I've been facing persistent problems with my Router. 

Thank you.",Billing,Router,2025-05-22 15:54:08,15,3,1,7
Q00094_aug_1,"Good evening, I have been confronted with persistent problems with my router.",Billing,Router,2025-05-22 15:54:08,15,3,1,7
Q00095,"Hi there,

I noticed some irregular behavior with my Smartphone that I believe your team should look into. 

Thank you.",Returns & Refunds,Smartphone,2025-04-25 11:38:59,11,4,4,6
Q00095_aug_1,"Hello, I noticed an irregular behavior with my Smartphone that I think your team should examine.",Returns & Refunds,Smartphone,2025-04-25 11:38:59,11,4,4,6
Q00096,"Hello,

My recent experience with the Smartphone has been quite disappointing due to several bugs. Please look into this matter urgently.

Thank you.",Technical Support,Smartphone,2025-04-30 03:38:59,3,2,6,6
Q00096_aug_1,"Hello, My recent experience with the Smartphone has been quite disappointing due to several bugs. Please consider this issue of urgency. Thank you.",Technical Support,Smartphone,2025-04-30 03:38:59,3,2,6,6
Q00097,"Dear support,

After the recent update, my Printer isn't working as expected. Please look into this matter urgently.

Thank you.",Account Management,Printer,2025-05-17 19:19:59,19,5,0,2
Q00097_aug_1,"Dear support, After the recent update, my printer does not work as planned. Please consider this matter of urgency. Thank you.",Account Management,Printer,2025-05-17 19:19:59,19,5,0,2
Q00099,"Hello team,

I need assistance with my Smart TV regarding a problem that just started this morning. 

Thank you.",Account Management,Smart TV,2025-05-19 07:10:35,7,0,0,3
Q00099_aug_1,"Hello team, I need help with my Smart TV about a problem that just started this morning. Thank you.",Account Management,Smart TV,2025-05-19 07:10:35,7,0,0,3
Q00101,"To whom it may concern,

Could you please assist with an unexpected error I've encountered on my Printer? 

Thank you.",Product Inquiry,Printer,2025-05-02 18:04:21,18,4,3,2
Q00101_aug_1,"To whom can it concern, could you help with an unexpected mistake that I encountered on my printer? Thank you.",Product Inquiry,Printer,2025-05-02 18:04:21,18,4,3,2
Q00102,"I hope this message finds you well,

Could you please assist with an unexpected error I've encountered on my Laptop? Looking forward to your swift assistance.

Thank you.",Technical Support,Laptop,2025-05-06 19:08:23,19,1,6,4
Q00102_aug_1,"I hope this message will find you, could you help with an unexpected mistake that I encountered on my laptop?",Technical Support,Laptop,2025-05-06 19:08:23,19,1,6,4
Q00103,"I hope this message finds you well,

I noticed some irregular behavior with my Laptop that I believe your team should look into. 

Thank you.",Billing,Laptop,2025-05-03 15:22:04,15,5,1,4
Q00103_aug_1,"I hope this message will find you, I noticed an irregular behavior with my laptop that I think your team should examine.",Billing,Laptop,2025-05-03 15:22:04,15,5,1,4
Q00104,"To whom it may concern,

I need assistance with my Gaming Console regarding a problem that just started this morning. 

Thank you.",Returns & Refunds,Gaming Console,2025-04-30 20:07:03,20,2,4,1
Q00104_aug_1,"To whom it may concern, I need help with my game console about a problem that just started this morning. Thank you.",Returns & Refunds,Gaming Console,2025-04-30 20:07:03,20,2,4,1
Q00105,"To whom it may concern,

I'm writing to report a serious issue with my Router. 

Thank you.",Warranty Claims,Router,2025-05-08 00:40:06,0,3,7,7
Q00105_aug_1,"To whom this may concern, I write to report a serious problem to my router.",Warranty Claims,Router,2025-05-08 00:40:06,0,3,7,7
Q00106,"Hi there,

Could you please assist with an unexpected error I've encountered on my Smart TV? Kindly resolve this issue as soon as possible.

Thank you.",Billing,Smart TV,2025-05-21 18:11:50,18,2,1,3
Q00106_aug_1,"Hello, could you help with an unexpected mistake that I encountered on my Smart TV? Please fix this problem as soon as possible. Thank you.",Billing,Smart TV,2025-05-21 18:11:50,18,2,1,3
Q00107,"Hello team,

This is to bring to your attention an ongoing issue with my Smart TV that hasn't been resolved yet. 

Thank you.",Warranty Claims,Smart TV,2025-05-18 16:53:57,16,6,7,3
